low, median, high,  open, close, diff, margin
050.0, 770.0, 959.0, 962.9, 984.72, 123.1, 156.3
962.9, 984.0, 990.0, 874.0, 885.0, 893.9, 941.38
893.9, 909.0, 914.75, 841.0, 887.0, 884.2, 888.09
884.2, 890.0, 958.0, 890.0, 929.0, 921.55, 929.17
921.55, 939.75, 995.0, 922.0, 980.0, 969.3, 965.65
969.3, 985.0, 1056.0, 976.0, 1049.0, 1041.45, 1015.39
1041.45, 1061.0, 1099.5, 1050.0, 1084.0, 1082.45, 1082.79
1082.45, 1089.0, 1109.7, 1051.0, 1090.1, 1081.3, 1087.03
1081.3, 1100.0, 1134.0, 1078.0, 1100.0, 1102.4, 1106.57
1102.4, 1110.0, 1110.0, 1061.1, 1073.55, 1075.4, 1080.38
1075.4, 1081.0, 1089.0, 1041.0, 1046.0, 1047.65, 1067.8
1047.65, 1032.0, 1065.0, 1016.0, 1036.9, 1036.8, 1043.92
1036.8, 1040.0, 1150.0, 1030.25, 1131.15, 1129.95, 1109.09
1129.95, 1139.9, 1140.0, 1101.1, 1107.0, 1110.5, 1119.55
1110.5, 1140.0, 1168.0, 1021.5, 1052.0, 1044.25, 1102.42
1044.25, 1045.0, 1109.9, 1031.55, 1085.0, 1074.95, 1077.84
1074.95, 1091.0, 1116.0, 1046.3, 1078.0, 1066.9, 1082.93
1066.9, 1083.5, 1083.5, 1051.0, 1067.0, 1060.2, 1065.52
1060.2, 1095.0, 1192.0, 1085.25, 1160.0, 1156.8, 1160.77
1156.8, 1175.0, 1214.0, 1148.0, 1212.0, 1199.9, 1183.3
1199.9, 1215.0, 1240.0, 1204.0, 1209.0, 1211.65, 1222.58
1211.65, 1189.4, 1274.0, 1175.0, 1270.0, 1249.1, 1221.31
1249.1, 1263.35, 1295.0, 1261.0, 1268.0, 1268.8, 1277.64
1268.8, 1279.0, 1319.0, 1263.7, 1308.0, 1296.85, 1285.72
1296.85, 1310.25, 1324.0, 1270.0, 1300.15, 1307.45, 1302.15
1307.45, 1305.0, 1314.7, 1261.15, 1267.15, 1275.8, 1289.24
1275.8, 1278.8, 1294.8, 1233.0, 1239.9, 1240.35, 1256.03
1240.35, 1240.0, 1278.9, 1215.0, 1233.0, 1227.25, 1244.76
1227.25, 1240.0, 1255.0, 1185.0, 1202.0, 1204.8, 1217.08
1204.8, 1200.0, 1210.0, 1151.0, 1181.0, 1180.25, 1176.37
1180.25, 1185.0, 1199.8, 1110.0, 1118.0, 1121.55, 1156.44
1121.55, 1128.0, 1130.0, 1063.0, 1096.0, 1085.85, 1087.78
1085.85, 1082.4, 1082.4, 1031.1, 1035.0, 1035.15, 1042.4
1035.15, 1045.6, 1078.7, 1036.05, 1057.0, 1049.55, 1050.69
1049.55, 1046.0, 1064.0, 1000.0, 1038.3, 1030.4, 1032.86
1030.4, 1050.0, 1053.5, 1011.0, 1014.95, 1020.9, 1033.73
1020.9, 1010.0, 1072.0, 974.9, 995.0, 994.6, 1022.57
994.6, 995.0, 1005.0, 795.7, 853.0, 825.05, 880.77
825.05, 700.0, 810.0, 660.05, 739.0, 735.55, 703.2
735.55, 760.0, 881.9, 760.0, 862.2, 857.0, 818.67
857.0, 875.0, 935.0, 812.0, 814.7, 814.15, 854.83
814.15, 820.0, 883.0, 820.0, 866.0, 865.7, 858.33
865.7, 835.0, 835.0, 783.2, 822.0, 820.8, 804.38
820.8, 840.0, 860.0, 820.05, 840.0, 840.75, 841.27
840.75, 849.8, 864.0, 822.25, 834.0, 830.45, 833.82
830.45, 831.0, 849.9, 812.55, 836.6, 837.65, 833.58
837.65, 831.65, 852.3, 820.0, 826.0, 825.35, 828.09
