,Algorithm,Iteration,statistic.mean_squared_error.sum,statistic.mean_squared_error.min,statistic.mean_squared_error.max,statistic.mean_squared_error.median,statistic.mean_squared_error.deviation,statistic.wasserstein_distance.sum,statistic.wasserstein_distance.min,statistic.wasserstein_distance.max,statistic.wasserstein_distance.median,statistic.wasserstein_distance.deviation,outlier.total.sum,outlier.total.min,outlier.total.max,outlier.total.median,outlier.total.deviation,attacker.similarity.sum,attacker.similarity.min,attacker.similarity.max,attacker.similarity.median,attacker.similarity.deviation,attacker.consistency.sum,attacker.consistency.min,attacker.consistency.max,attacker.consistency.median,attacker.consistency.deviation,attacker.downstream.sum,attacker.downstream.min,attacker.downstream.max,attacker.downstream.median,attacker.downstream.deviation,attacker.privacy.sum,attacker.privacy.min,attacker.privacy.max,attacker.privacy.median,attacker.privacy.deviation,kl.kl_div.sum,kl.kl_div.min,kl.kl_div.max,kl.kl_div.median,kl.kl_div.deviation,numeric.mean_diff.sum,numeric.mean_diff.min,numeric.mean_diff.max,numeric.mean_diff.median,numeric.mean_diff.deviation,numeric.median_diff.sum,numeric.median_diff.min,numeric.median_diff.max,numeric.median_diff.median,numeric.median_diff.deviation,numeric.std_dev_diff.sum,numeric.std_dev_diff.min,numeric.std_dev_diff.max,numeric.std_dev_diff.median,numeric.std_dev_diff.deviation,numeric.autocorrelation.sum,numeric.autocorrelation.min,numeric.autocorrelation.max,numeric.autocorrelation.median,numeric.autocorrelation.deviation,numeric.t_test_stat.sum,numeric.t_test_stat.min,numeric.t_test_stat.max,numeric.t_test_stat.median,numeric.t_test_stat.deviation,numeric.t_test_p_val.sum,numeric.t_test_p_val.min,numeric.t_test_p_val.max,numeric.t_test_p_val.median,numeric.t_test_p_val.deviation,numeric.mann_whitney_u_stat.sum,numeric.mann_whitney_u_stat.min,numeric.mann_whitney_u_stat.max,numeric.mann_whitney_u_stat.median,numeric.mann_whitney_u_stat.deviation,numeric.mann_whitney_u_p_val.sum,numeric.mann_whitney_u_p_val.min,numeric.mann_whitney_u_p_val.max,numeric.mann_whitney_u_p_val.median,numeric.mann_whitney_u_p_val.deviation
32,CONV_LSTM,30,19.618759612682137,1.0454206322099355,12.040528407672323,3.9237519225364275,206.86263161838673,1.045624216462429,0.06644488861855383,0.37508902335704847,0.2091248432924858,79.36129321203707,367,47,88,73.4,35.96730245231608,4.107044012513339,0.5917684576237134,1.0123313783130055,0.8214088025026678,27.956888723286905,4.333333333333333,0.3333333333333333,1.0,0.8666666666666666,61.53846153846153,1.87,0.0,0.99,0.374,164.70588235294116,4.78,0.79,1.0,0.9560000000000001,17.364016736401677,1.0732263619855271,0.0,0.5492428433277877,0.21464527239710543,155.88396948788073,0.7473563603389362,0.03440382775442308,0.3750890233570485,0.14947127206778724,150.9438891956045,0.8599048661460396,0.08970194572486806,0.3085353237208548,0.1719809732292079,79.4008476214714,0.9224258957365964,0.04321449239149146,0.306459629375309,0.18448517914731927,76.57562922331942,0.9656084719861602,0.006144317507511654,0.5564443896022111,0.19312169439723204,188.13147654849206,33.31839370326648,0.9849932086277655,13.738739972348192,6.663678740653296,106.17350426172058,0.3265270708732312,1.0415458194394362e-38,0.3249259518939246,0.06530541417464623,397.5482599727111,154538.0,10784.0,47448.0,30907.6,65.10890525307691,0.038150860957881685,3.959435198273556e-29,0.03815019308286656,0.007630172191576337,399.9912469207987
33,CONV_LSTM,50,12.935106792871327,1.2726043721568416,4.392827638793797,2.5870213585742654,69.80252691901741,0.6069575393138088,0.08239049541024224,0.14813838844802193,0.12139150786276176,32.12828734001049,310,35,88,62.0,43.54838709677419,3.946048683304903,0.0586270374934011,1.4160324689686787,0.7892097366609806,92.57142496221059,4.333333333333334,0.3333333333333333,1.0,0.8666666666666668,61.53846153846154,0.9299999999999999,0.0,0.69,0.186,270.9677419354839,4.390000000000001,0.45999999999999996,1.0,0.8780000000000001,47.60820045558088,1.1419264120408645,0.0,0.4748236137065891,0.2283852824081729,107.90464635018759,0.49502414537260564,0.047297737808732254,0.13838639608091063,0.09900482907452113,52.22683756856834,0.5699829056153495,0.04497187280984496,0.19308599920331404,0.1139965811230699,69.37876320594191,0.4424679051062642,0.004974966805288195,0.17526569362725797,0.08849358102125285,98.05469685441444,0.9238560439847286,0.003986479768704809,0.5185210577975043,0.18477120879694572,180.628708971284,23.81713126976928,2.181226159473466,8.885577082125893,4.763426253953856,86.53751750119923,0.04657326782626867,4.166669986329086e-18,0.029457925043164385,0.009314653565253735,216.25357654793183,200816.0,13052.0,70000.0,40163.2,74.28890128276633,0.06295306906088151,5.789584938803706e-59,0.03633766413317313,0.012590613812176302,188.60915500427157
34,CONV_LSTM,70,13.101553517234514,0.21516024446076507,4.23515196065719,2.620310703446903,91.78875069365891,0.5534378936715679,0.054062914018638025,0.18034588553549014,0.11068757873431359,62.9323611535304,321,46,88,64.2,37.07165109034267,3.202278059838087,0.007582705362673282,0.9547404598606103,0.6404556119676175,98.81604513708959,5.0,1.0,1.0,1.0,0.0,1.02,0.0,1.0,0.20400000000000001,390.19607843137254,4.15,0.51,1.0,0.8300000000000001,38.55421686746988,2.140840854912315,0.027318859178045843,0.6334968860316608,0.428168170982463,93.61959598366204,0.46973656865765756,0.04293367011637976,0.17992749473518077,0.0939473137315315,91.51957367227176,0.6837231826457821,0.026022112836615596,0.2416872689252989,0.13674463652915642,80.97028629633513,0.3014263328383431,0.006664590378480162,0.1508359109351637,0.06028526656766862,150.20360615948238,0.6229749204321611,0.003924869448820423,0.24662720014336548,0.12459498408643221,97.94312102666898,23.160084603589354,1.9668411654520548,11.518825610611922,4.632016920717871,148.6784009594406,0.09217364687592085,1.6510811781619755e-28,0.049547646112221296,0.01843472937518417,168.77338475562135,149514.0,10035.0,48928.0,29902.8,66.44126971387296,0.09160293834259144,7.4593528767155636e-31,0.08404953214450991,0.01832058766851829,358.7709393675119
35,CONV_LSTM,100,13.524360973699107,0.6699296182751802,4.857570124299889,2.7048721947398215,79.58593880133894,0.5521291012728544,0.05677424552110688,0.20944585002092098,0.11042582025457089,89.67108375384817,358,47,88,71.6,34.35754189944134,3.4817039366683655,0.02359008556998536,1.165191732459286,0.6963407873336731,96.6122786430028,5.0,1.0,1.0,1.0,0.0,0.96,0.0,0.96,0.192,400.0,4.07,0.45999999999999996,1.0,0.8140000000000001,43.4889434889435,0.8064753360631117,0.0,0.5445540735041112,0.16129506721262235,237.6135940885714,0.453857589253618,0.027890021713284696,0.2080316623157853,0.0907715178507236,129.18164997295673,0.5531257644716345,0.010417557229773555,0.27041050882398054,0.11062515289432691,144.43854019554334,0.3812192712479755,0.0024295406653505602,0.15447943057994126,0.0762438542495951,102.61230508393619,0.5271962403659701,0.003953014375413844,0.2450586756018085,0.10543924807319402,132.4169415848766,23.086545207099114,1.2820908000386466,13.487290783796904,4.617309041419823,192.10283874889956,0.22031825926032111,1.7002497807077492e-37,0.20018313270714735,0.04406365185206422,354.3044534284771,158199.0,7299.0,43958.0,31639.8,76.93095405154267,0.8898911068742014,1.3542453111067115e-37,0.6355318407554966,0.17797822137484026,257.08404986079836
36,CONV_LSTM,140,16.34931676926971,0.6558226152693097,7.116583975137332,3.2698633538539417,117.64163223363909,0.601745669488543,0.081480627973722,0.23798516830867472,0.1203491338977086,97.74564269897571,335,47,82,67.0,29.850746268656714,3.428360954865886,0.004604484352360767,1.2188176351643107,0.6856721909731772,99.32847147471074,4.666666666666666,0.6666666666666666,1.0,0.9333333333333332,28.57142857142857,0.0,0.0,0.0,0.0,,4.15,0.5,1.0,0.8300000000000001,39.75903614457832,1.9354815517850705,0.0,0.7963753469893007,0.3870963103570141,105.7305444877048,0.46070450855085887,0.009352945895699738,0.23798516830867478,0.09214090171017178,158.28395847183543,0.6145005498502099,0.004260427226798091,0.26688182444631026,0.12290010997004197,117.15344641381131,0.3429961159679649,0.002059274021754154,0.13998112046622324,0.06859922319359299,104.05642214225126,0.6720531157876891,0.003925385363157341,0.2836090013216822,0.13441062315753782,111.0019242967681,23.920152840826454,0.4286663172384239,15.28803885368208,4.78403056816529,219.56398764285385,0.7627439239902567,1.814178882444416e-46,0.668281761273805,0.15254878479805134,338.07740727564396,153507.0,6262.0,46561.0,30701.4,79.60353599510121,0.7854190393218169,2.4888665532366024e-40,0.7708831266355993,0.15708380786436338,390.74639653581045
37,CONV_LSTM,210,20.431023718929666,0.496049133565796,11.674747320558707,4.086204743785933,185.71126638509725,0.5148704181974263,0.043102061461710486,0.23166961124604885,0.10297408363948526,124.97856068050064,325,43,79,65.0,33.84615384615385,2.8607187062111272,0.007469071490737494,1.146366436855146,0.5721437412422254,100.36336224987473,4.666666666666666,0.6666666666666666,1.0,0.9333333333333332,28.57142857142857,0.020000000000000018,0.0,0.020000000000000018,0.0040000000000000036,400.0,3.7900000000000005,0.47,1.0,0.7580000000000001,37.994722955145136,1.209592368411895,0.0,0.49268639467947306,0.241918473682379,103.65802874828556,0.40644118702637283,0.0010847972201387668,0.2316696112460489,0.08128823740527456,184.99770525349894,0.5922913136353012,0.016032465825303044,0.28162646384297774,0.11845826272706024,137.74319946922864,0.31909251020409746,0.001440899738192336,0.09434124512078577,0.06381850204081949,97.74219122650246,0.5707200884347636,0.003927782117662093,0.23700860790679867,0.11414401768695273,107.63997335086796,19.90333711336452,0.049059993502725226,13.605526680232492,3.9806674226729037,241.79008783147157,1.1113642425917696,4.5911998026444313e-38,0.9608837615790176,0.2222728485183539,332.29920702603215,156259.0,13072.0,41849.0,31251.8,58.17200929226476,0.7789931037361639,3.5192051133624506e-24,0.7677009275580965,0.15579862074723277,392.7520692263459
38,CONV_LSTM,300,20.56003689990257,0.4378629491068338,10.966333327776315,4.112007379980514,166.69050695692775,0.5409824288462536,0.04835811781903178,0.2581312935656899,0.10819648576925071,138.57641191434192,307,47,82,61.4,33.55048859934854,2.781718169632145,0.010390647923464476,1.132968351736845,0.5563436339264289,103.64542391558471,5.0,1.0,1.0,1.0,0.0,0.73,0.0,0.73,0.146,400.0,3.54,0.39,1.0,0.708,44.91525423728813,1.2596918133143729,0.0,0.589706256753914,0.25193836266287456,134.06767056870004,0.4488045238189203,0.007413180785462367,0.25813129356569,0.08976090476378405,187.57652816110934,0.6561816813816543,0.0248349542715387,0.28621155114232466,0.13123633627633086,118.08864775048158,0.2041162808567332,0.0005278739238058217,0.07864524607545154,0.04082325617134664,98.70692841945241,0.5793405544040366,0.003941813821890294,0.2350529736340996,0.11586811088080733,102.86252347369059,22.269622834667995,0.3439941641896943,15.359623296963637,4.453924566933599,244.8559369638876,1.0002628665690751,7.745408477466699e-47,0.7309412958595708,0.20005257331381504,265.3746031614251,151219.0,9623.0,43467.0,30243.8,68.1819083580767,0.5760985375140598,7.976468404329465e-32,0.5676145094399567,0.11521970750281196,392.6366519599991
39,CONV_LSTM,500,17.97952388489611,0.47274060693571884,8.476531885003926,3.5959047769792223,135.727373518626,0.5160823970752206,0.04816082857740775,0.2332555015987748,0.10321647941504412,125.98668635153729,316,51,75,63.2,19.303797468354432,2.926434415942661,0.013489501486638593,1.1515611483788162,0.5852868831885323,97.69523256472957,4.333333333333333,0.6666666666666666,1.0,0.8666666666666666,23.076923076923073,1.6099999999999999,0.0,0.84,0.32199999999999995,160.86956521739134,3.82,0.45999999999999996,1.0,0.764,39.79057591623037,1.2220406373045942,0.0,0.5509284937153762,0.24440812746091883,125.413327878579,0.40504111180527025,0.009347271783443245,0.23325550159877484,0.08100822236105405,187.94052603592993,0.6176718224260651,0.016747391690985713,0.2635742136961119,0.12353436448521302,113.36104718267406,0.22668512318955483,0.0008359252517436411,0.0798954133395236,0.045337024637910964,98.1561973719717,0.6169480674931781,0.003936445814854417,0.2885888348029221,0.12338961349863561,133.88421976547738,20.512274269136363,0.42045100934436413,14.430588845955727,4.102454853827273,251.7549701367976,1.160104937465587,4.0898906294284845e-42,0.6742692046793264,0.2320209874931174,190.60698860241155,150053.0,8664.0,42136.0,30010.6,71.13020066243261,0.6932494147072145,3.8125425645122146e-34,0.6854593626555536,0.1386498829414429,394.38149395701197
40,CONV_LSTM,700,16.25698650008011,0.27870955433252165,6.870998876065464,3.251397300016022,111.32449350411915,0.4701596069959811,0.015351244456312415,0.2043633233613366,0.09403192139919622,117.33398650203854,336,47,90,67.2,33.92857142857142,2.749739159676206,0.014060731631803918,1.0132176869434923,0.5499478319352412,97.44326083033643,5.0,1.0,1.0,1.0,0.0,1.13,0.0,0.99,0.22599999999999998,338.05309734513276,3.57,0.45999999999999996,0.99,0.714,38.655462184873954,0.7000566987185491,0.0,0.33453039664106143,0.14001133974370983,138.93093034708326,0.4370345522600961,0.011393149962701965,0.20436332336133667,0.08740691045201922,133.8068263761811,0.5896936314572807,0.0337050061849587,0.23345807285367415,0.11793872629145614,97.94861297445316,0.1346068675625694,0.0015391058739514518,0.06266999944584077,0.02692137351251388,132.7890121085755,0.48059748291067855,0.003949519668121404,0.2917475322708583,0.09611949658213571,203.5258637893044,21.444938052605117,0.5377689412070326,12.795615955000104,4.288987610521024,198.3365100801888,0.79201925133491,3.1188937010616603e-34,0.5908865129837482,0.158403850266982,273.0253475454275,157789.0,9787.0,43458.0,31557.8,68.98706500453137,0.22843068569184316,1.9505561245285097e-31,0.22030487340264704,0.04568613713836863,382.2138337837895
41,CONV_LSTM,1400,18.528482220240676,0.12218487902996929,10.136074025713677,3.7056964440481353,173.52683034773733,0.5079107665927577,0.04082349286447691,0.24514014459414135,0.10158215331855154,141.3220596194749,354,47,84,70.8,33.61581920903954,2.233616532370169,0.005965089703877645,0.9028577145654657,0.4467233064740338,102.10669590796135,4.333333333333333,0.6666666666666666,1.0,0.8666666666666666,23.076923076923073,0.18000000000000005,0.0,0.18000000000000005,0.03600000000000001,400.0,3.4800000000000004,0.45999999999999996,1.0,0.6960000000000001,43.67816091954022,0.6420609425095414,0.0,0.32457691742950173,0.12841218850190828,152.76176756747537,0.4082540204290861,0.009794066162614079,0.2359775721884364,0.08165080408581722,189.00826492831294,0.5458814162828305,0.013585006055451154,0.2316145309930937,0.1091762832565661,112.14729434303572,0.33975086001500043,0.002309160486911488,0.15330241616159074,0.06795017200300009,125.6100487204392,0.9631245540111527,0.003942678370228658,0.8333489085492922,0.19262491080223054,332.6277972452368,19.031539672636864,0.44423096709399296,12.869089210487962,3.8063079345273727,238.09900386017796,0.9550507668357642,1.4208312288886376e-34,0.6569960456963206,0.19101015336715282,243.958702778206,142859.0,15998.0,40478.0,28571.8,44.0077278995373,0.90444420637304,1.4890253416014455e-18,0.8577291256031216,0.180888841274608,374.17470285024376
