,Algorithm,Iteration,statistic.mean_squared_error.sum,statistic.mean_squared_error.min,statistic.mean_squared_error.max,statistic.mean_squared_error.median,statistic.mean_squared_error.deviation,statistic.wasserstein_distance.sum,statistic.wasserstein_distance.min,statistic.wasserstein_distance.max,statistic.wasserstein_distance.median,statistic.wasserstein_distance.deviation,outlier.total.sum,outlier.total.min,outlier.total.max,outlier.total.median,outlier.total.deviation,attacker.similarity.sum,attacker.similarity.min,attacker.similarity.max,attacker.similarity.median,attacker.similarity.deviation,attacker.consistency.sum,attacker.consistency.min,attacker.consistency.max,attacker.consistency.median,attacker.consistency.deviation,attacker.downstream.sum,attacker.downstream.min,attacker.downstream.max,attacker.downstream.median,attacker.downstream.deviation,attacker.privacy.sum,attacker.privacy.min,attacker.privacy.max,attacker.privacy.median,attacker.privacy.deviation,kl.kl_div.sum,kl.kl_div.min,kl.kl_div.max,kl.kl_div.median,kl.kl_div.deviation,numeric.mean_diff.sum,numeric.mean_diff.min,numeric.mean_diff.max,numeric.mean_diff.median,numeric.mean_diff.deviation,numeric.median_diff.sum,numeric.median_diff.min,numeric.median_diff.max,numeric.median_diff.median,numeric.median_diff.deviation,numeric.std_dev_diff.sum,numeric.std_dev_diff.min,numeric.std_dev_diff.max,numeric.std_dev_diff.median,numeric.std_dev_diff.deviation,numeric.autocorrelation.sum,numeric.autocorrelation.min,numeric.autocorrelation.max,numeric.autocorrelation.median,numeric.autocorrelation.deviation,numeric.t_test_stat.sum,numeric.t_test_stat.min,numeric.t_test_stat.max,numeric.t_test_stat.median,numeric.t_test_stat.deviation,numeric.t_test_p_val.sum,numeric.t_test_p_val.min,numeric.t_test_p_val.max,numeric.t_test_p_val.median,numeric.t_test_p_val.deviation,numeric.mann_whitney_u_stat.sum,numeric.mann_whitney_u_stat.min,numeric.mann_whitney_u_stat.max,numeric.mann_whitney_u_stat.median,numeric.mann_whitney_u_stat.deviation,numeric.mann_whitney_u_p_val.sum,numeric.mann_whitney_u_p_val.min,numeric.mann_whitney_u_p_val.max,numeric.mann_whitney_u_p_val.median,numeric.mann_whitney_u_p_val.deviation
54,LSTM,30,16.247975461742755,0.0027297179148422328,9.951724599324448,3.249595092348551,206.24506489305801,0.5460486798687412,0.010271351639956803,0.1922386637142892,0.10920973597374824,90.5948388681886,383,43,90,76.6,43.86422976501305,0.07577780409471498,0.0,0.07577780409471498,0.015155560818942995,400.0,4.333333333333333,0.6666666666666666,1.0,0.8666666666666666,23.076923076923073,0.38999999999999996,0.0,0.38999999999999996,0.07799999999999999,400.0,1.96,0.06000000000000005,0.5700000000000001,0.392,84.69387755102039,0.053105605457673746,1.887379141862764e-17,0.045893445691403086,0.01062112109153475,332.096059313184,0.42607467152570966,0.009663213281126737,0.1907329967448263,0.08521493430514193,123.82578628980687,0.24718235228600607,0.0014782781698541303,0.09925489610157084,0.04943647045720122,100.77261823838957,0.4675581961894717,0.0024053688663792094,0.22009730629403892,0.09351163923789434,135.36888892954778,0.9256730061586871,0.00488722448123835,0.706447919574902,0.18513460123173742,281.586108093659,17.560888797071797,0.41741354270494135,7.944155127166154,3.5121777594143593,126.188868313169,1.4723806148881318,6.645241309162288e-15,0.6764882264217735,0.2944761229776264,129.72600276769182,151890.5,20514.0,37129.0,30378.1,32.47108937030295,1.694233852481844,2.0655132332870908e-11,0.904076941178739,0.3388467704963688,166.80996246603667
55,LSTM,50,16.433074615434805,0.0021041569343324944,10.119728477272378,3.286614923086961,207.90733670032142,0.546911254386953,0.008414349203327075,0.19466761497771687,0.10938225087739059,92.30739070019784,386,54,91,77.2,30.05181347150259,0.07577780409471498,0.0,0.07577780409471498,0.015155560818942995,400.0,5.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.4,149.99999999999997,1.96,0.06000000000000005,0.5700000000000001,0.392,84.69387755102039,0.05539811965850781,0.0006921270020275206,0.045893445691403086,0.011079623931701563,314.21483232919576,0.4275133875796723,0.007650922326536913,0.19125020830126094,0.08550267751593446,123.67744947591746,0.25090899654406085,0.001181996335761104,0.1025598544450767,0.05018179930881217,104.37659840361025,0.46842064612356027,0.0031014493895293593,0.22025494676759713,0.09368412922471206,135.10379889350367,0.9259029951374637,0.004888505327756754,0.706205037880814,0.18518059902749273,281.36016493605126,17.63905248648043,0.3303561830635503,8.062985272188312,3.527810497296086,128.55494302679358,1.5227649745583267,2.7188144569501254e-15,0.741217555994107,0.3045529949116653,143.37884321547878,151227.5,20283.0,37106.0,30245.5,32.9387842819593,1.8145791811701624,9.884018618172498e-12,0.9323480677687918,0.36291583623403245,156.90476266997376
56,LSTM,70,16.229031540637006,0.002423408683491603,9.887977014426134,3.2458063081274013,204.6385420370568,0.5466226815105315,0.009418773925553604,0.19239447497408874,0.1093245363021063,91.38457454827353,397,56,92,79.4,29.471032745591945,0.07577797268210902,0.0,0.07577780409471498,0.015155594536421804,399.9988876226951,5.0,1.0,1.0,1.0,0.0,1.02,0.0,1.0,0.20400000000000001,390.19607843137254,1.95,0.06000000000000005,0.5700000000000001,0.39,84.6153846153846,0.05555009077756891,2.442490654175323e-17,0.045893445691403086,0.011110018155513782,313.0816444132152,0.42673762120699166,0.008756141452284594,0.1923944410511999,0.08534752424139833,125.4247475381106,0.24806685541215048,0.0002875561811761518,0.09797983354053569,0.049613371082430094,99.42040588070826,0.46850527329908476,0.0027315434249961246,0.22057269749511818,0.09370105465981696,135.4004427121024,0.925974659964575,0.0048855248455832445,0.7065410977872328,0.18519493199291498,281.5121127689731,17.57172653713119,0.3781596333338526,7.898332431003254,3.5143453074262383,124.74548571858091,1.482801100679652,9.352148335355011e-15,0.7054125811852135,0.2965602201359304,137.86486969219365,151715.0,20610.0,37169.0,30343.0,32.076590976502,1.7375483195401134,2.7965589687734894e-11,0.9154462472292836,0.3475096639080227,163.43044303699702
57,LSTM,100,16.206799713507838,0.003424709737980072,9.890514659659205,3.2413599427015676,205.1347222923902,0.5538486121994939,0.01186819941255507,0.19200252555888186,0.11076972243989877,89.28570086560026,380,54,92,76.0,28.947368421052634,0.07577805697580604,0.0,0.07577780409471498,0.015155611395161209,399.9983314358987,4.333333333333333,0.6666666666666666,1.0,0.8666666666666666,23.076923076923073,0.73,0.0,0.73,0.146,400.0,1.97,0.06000000000000005,0.5700000000000001,0.394,84.7715736040609,0.08065095652685739,2.442490654175323e-17,0.05564613914677989,0.016130191305371477,244.98127203394856,0.4316373882481981,0.011334168700667169,0.19200249163599303,0.08632747764963962,122.41179386155106,0.257444096546794,0.003699743280632939,0.09803514665088725,0.0514888193093588,92.8144724810956,0.46738254326876894,0.0018481801619731064,0.2204626013686918,0.09347650865375379,135.84813397910168,0.9255339463318413,0.004867831411924151,0.7065363381012768,0.18510678926636825,281.6912069522056,17.64111950150565,0.48975116916132294,7.9002817436090504,3.5282239003011298,123.91667782010012,1.4315639370694804,9.21749261017244e-15,0.6244445919283237,0.2863127874138961,118.09874353450427,152919.5,20603.0,37571.5,30583.9,32.6344906960852,1.406058751965205,2.7356265929724664e-11,0.7730066902558403,0.281211750393041,174.88420707009314
58,LSTM,140,16.185671499665332,0.0017218478602882103,9.888671317531571,3.2371342999330666,205.4760909282027,0.5478116561195602,0.007007562239365147,0.19209244512599,0.10956233122391204,93.60404058485774,392,50,93,78.4,36.22448979591837,0.07577814126950307,0.0,0.07577780409471498,0.015155628253900613,399.9977752503397,5.0,1.0,1.0,1.0,0.0,0.53,0.0,0.53,0.10600000000000001,400.0,1.95,0.06000000000000005,0.5700000000000001,0.39,84.6153846153846,0.07081194841158733,2.442490654175323e-17,0.06239793046525903,0.014162389682317467,340.5889956775185,0.4217561442444253,0.005692623345347203,0.19209241120310117,0.08435122884888506,127.72923859501095,0.2516928870298244,0.00374979423500732,0.09799986070118022,0.05033857740596488,94.68142675316784,0.4688521999817491,0.003816880494251995,0.22048900540261876,0.09377043999634982,135.13700630092137,0.9273014268597854,0.004869098456861232,0.7065364730558379,0.18546028537195708,280.96375816462063,17.174086925949016,0.24569676313715955,7.899035599529581,3.4348173851898034,129.96959412132156,1.7625714939099069,9.303352303316114e-15,0.8059801541807123,0.35251429878198137,128.6375778133144,152406.5,20607.0,37533.5,30481.3,32.394615715209,1.5363660519049671,2.7702841328697394e-11,0.6532837764927488,0.3072732103809934,112.60681192569012
59,LSTM,210,16.092535803643678,0.015082799016435822,9.944272238989434,3.2185071607287354,208.97157416104207,0.5583657342194029,0.025415159532717318,0.19212923912322466,0.11167314684388059,77.24147635219074,379,50,91,75.8,34.03693931398416,0.07577780409471498,0.0,0.07577780409471498,0.015155560818942995,400.0,4.666666666666667,0.6666666666666666,1.0,0.9333333333333333,28.571428571428577,0.0,0.0,0.0,0.0,,1.9500000000000002,0.06000000000000005,0.5700000000000001,0.39,84.6153846153846,0.09894075138639821,2.442490654175323e-17,0.05274661629032164,0.01978815027727964,166.55657831184075,0.43529203333353284,0.010890320748745852,0.18793518273325255,0.08705840666670657,115.87252733988286,0.2603986987883101,0.021073312473882888,0.09910516923389506,0.05207973975766202,90.29505465091079,0.4635683299279103,0.002809430452017092,0.2161301667016546,0.09271366598558206,133.11575958528604,0.9217665878851018,0.004884048542429076,0.7064589308174875,0.18435331757702036,283.2092311126098,17.921119434414226,0.6077494923013521,7.938791703933731,3.584223886882845,121.49262865490245,1.207653599718574,6.916991168539759e-15,0.543526542480179,0.2415307199437148,125.03412510294338,156061.5,20527.0,38552.5,31212.3,34.23426021151917,1.1393807313115472,2.152273329307297e-11,0.72948605045535,0.22787614626230943,220.12391925201104
60,LSTM,300,16.193222155031325,0.012709331649925232,9.880833415513113,3.238644431006265,205.09164022192712,0.5668969127161356,0.0234055837187086,0.19135952018778804,0.11337938254322713,79.35640220144525,375,40,89,75.0,46.666666666666664,0.0757752759586381,0.0,0.07577510737124406,0.01515505519172762,399.9988875831074,5.0,1.0,1.0,1.0,0.0,1.02,0.0,0.88,0.20400000000000001,331.3725490196078,2.04,0.06000000000000005,0.5800000000000001,0.40800000000000003,85.29411764705881,0.09233247300356515,7.771561172376117e-17,0.05564613914677989,0.018466494600713028,201.33569120709726,0.44512181334590195,0.012295159310757586,0.19135948626489924,0.08902436266918039,114.95181827473677,0.2763737270647536,0.01926472140334412,0.09783582871875834,0.05527474541295072,76.99914850414793,0.46769481653094336,0.002276937481401675,0.22029464145616276,0.09353896330618867,135.5111000482809,0.9223363091630495,0.00486051552083222,0.7065537774161115,0.18446726183260992,283.02394169934365,18.19345564256707,0.6860359082089008,7.8931655029177215,3.638691128513414,116.92320738810473,1.0894884651947023,9.718527708943076e-15,0.4928897300541014,0.21789769303894047,126.20236276022305,154595.5,20621.0,38306.0,30919.1,33.30659689318253,1.1166155368099155,2.8950034068342387e-11,0.7786779371504594,0.2233231073619831,248.67772813509396
61,LSTM,500,16.06712883224996,0.01668901726842403,9.768398963592187,3.213425766449992,203.98707403108153,0.5631263312695929,0.030180142590693085,0.1912115436105061,0.11262526625391858,73.20304440155493,383,44,92,76.6,42.55874673629243,0.07577839415059413,0.0,0.07577780409471498,0.015155678830118827,399.99610670108694,3.6666666666666665,0.3333333333333333,1.0,0.7333333333333333,54.54545454545454,0.5399999999999999,0.0,0.44999999999999996,0.10799999999999998,316.6666666666667,2.0300000000000002,0.06000000000000005,0.5700000000000001,0.406,85.22167487684727,0.10372987223360958,0.0008767079075751734,0.05904096532337756,0.020745974446721917,184.58998383036501,0.4390392691681314,0.009974552602230957,0.1912115096876173,0.08780785383362628,117.76128368871746,0.2647206911856185,0.019877881718267654,0.0955718058916099,0.0529441382371237,80.51442345433489,0.46946937987067605,0.004564793029868369,0.22027278092607003,0.0938938759741352,134.59760143116065,0.9207672279247685,0.004885412718926507,0.7067123193180154,0.1841534455849537,283.7627458303487,18.04103722082246,0.5566993703013856,7.811805392072825,3.608207444164492,116.50100535951056,1.168570541700462,1.7750148004664136e-14,0.5778889299435668,0.23371410834009237,147.26317724159105,155296.0,20802.0,39100.5,31059.2,33.024675458479294,1.068128431754783,5.0968014830533353e-11,0.6948345693516416,0.2136256863509566,225.25796931092233
62,LSTM,700,16.514730934119964,0.020587866392739552,10.156056893459256,3.3029461868239927,207.4847823429117,0.5817444596737916,0.03640249855249271,0.19518643287932821,0.11634889193475832,68.71263838687427,366,41,91,73.2,43.98907103825137,0.07577780409471498,0.0,0.07577780409471498,0.015155560818942995,400.0,4.666666666666666,0.6666666666666666,1.0,0.9333333333333332,28.57142857142857,1.0,0.0,1.0,0.2,400.0,2.05,0.06000000000000005,0.5700000000000001,0.41,85.36585365853657,0.060750584510871106,0.0,0.05274661629032164,0.012150116902174221,334.1243521770792,0.45865902476405385,0.010259002656399674,0.19291020376773166,0.09173180495281077,110.29805732806597,0.29223690722527607,0.020248622608770583,0.1032622355791099,0.058447381445055215,76.67555504806303,0.4717680209384538,0.0063859778140350765,0.22077677967925927,0.09435360418769076,133.98870830634522,0.9182562705581585,0.004870819283432137,0.7061531722521659,0.1836512541116317,284.50767770032945,18.80918251982684,0.572557054951191,8.088350033394253,3.7618365039653683,115.01067430411418,1.00664522261882,2.2434615751877963e-15,0.5671059165557705,0.20132904452376402,181.68112449807597,155619.5,20233.0,39842.5,31123.9,34.99208004138299,0.9782593804143656,8.414120298351744e-12,0.7039133163470132,0.1956518760828731,259.7784649143122
63,LSTM,1400,27.291520652137212,0.017787895051909034,20.935923183364068,5.458304130427442,283.56095012471513,0.5779501778126599,0.03440689780682005,0.1929089708684016,0.11559003556253197,70.23368178807543,386,64,88,77.2,17.098445595854926,0.075777888388412,0.0,0.07577780409471498,0.0151555776776824,399.99944381072885,5.0,1.0,1.0,1.0,0.0,0.65,0.0,0.65,0.13,400.0,2.0,0.06000000000000005,0.5700000000000001,0.4,84.99999999999999,0.25147896349734866,0.0010484750299778643,0.12139806850774659,0.05029579269946973,141.36823776320855,0.43769419894015077,0.00862616917556469,0.19290893694551275,0.08753883978803015,120.3695381531555,0.3565482215994845,0.018105001164068435,0.17154674714527202,0.0713096443198969,140.56598343936324,0.4694233925269635,0.0058166424066998235,0.22083564240459128,0.0938846785053927,135.220108243654,0.9136470655782173,0.0048811308790064345,0.7025627855039867,0.18272941311564345,284.4825928813977,17.928583605961315,0.4814973942892626,7.588828672153966,3.585716721192263,111.64049650945806,1.094616081270373,9.007681358303967e-14,0.6302950388669077,0.21892321625407457,187.9068970626713,156432.0,20797.0,40153.5,31286.4,33.52702771811394,0.9639470187715893,5.018245581822953e-11,0.6517827900099766,0.19278940375431786,238.0801938889646
